#HIPID	ASASID	RA	DEC	plx	e_plc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Vmag	BVmag	e_bv_arr
20187	041937+1237.4	64.90322138	12.62436861	19.36	2.05	165.99	2.17	-18.35	1.81	8.11	0.02	7.656	0.02	7.564	0.023	9.81	0.924	0.009
20712	042618+2128.2	66.57680601	21.47052261	20.23	0.95	102.32	1.58	-38.42	0.96	6.342	0.019	6.15	0.026	6.073	0.021	7.36	0.557	0.013
19870	041542+2049.2	63.92653514	20.81988314	19.23	0.82	110.26	0.92	-36.43	0.61	6.537	0.027	6.257	0.017	6.19	0.017	7.83	0.705	0.003
21256	043337+2109.1	68.40463654	21.15096334	26.74	1.78	108.93	2.07	-45.21	1.54	8.427	0.023	7.835	0.02	7.686	0.026	10.69	1.237	0.005
19808	041452+1303.3	63.71610254	13.054999	26.69	2.7	112.82	4.2	-18.61	3.83	8.445	0.029	7.828	0.017	7.688	0.017	10.69	1.204	0.008
19261	0	61.92460911	15.16284297	22.92	0.72	127.76	0.74	-23.85	0.59	5.244	8.888	5.055	0.031	5.03	0.026	6.02	0.397	0.004
20842	0	67.00300695	21.62000581	21.22	0.41	97.93	0.52	-41.7	0.42	5.163	0.017	5.103	0.017	5.055	0.018	5.72	0.27	0.015
19207	040701+1520.1	61.75479285	15.33507779	24.19	2.11	126.05	2.01	-20.7	1.44	8.365	0.026	7.811	0.049	7.665	0.026	10.49	1.18	0.015
20557	042415+2144.2	66.06041679	21.7363572	22.59	0.77	118.22	1.09	-46.27	0.65	6.148	0.023	5.946	0.026	5.871	0.02	7.13	0.518	0.014
19148	040616+1541.9	61.56689869	15.69816788	21.77	1.3	118.45	1.07	-20.7	0.78	6.753	0.024	6.532	0.036	6.446	0.024	7.85	0.593	0.005
19098	040540+1756.2	61.41498437	17.93777801	18.54	1.12	126.06	1.38	-28.07	0.96	7.748	0.03	7.365	0.038	7.254	0.023	9.31	0.89	0.008
20087	0	64.59642306	21.57937937	18.5	0.5	94.87	0.48	-34.89	0.4	5.058	0.037	4.936	0.059	4.903	0.02	5.64	0.277	0.004
22224	044649+1744.9	71.7058134	17.74840601	24.09	1.72	98.1	2.2	-32.77	1.72	7.798	0.037	7.298	0.018	7.171	0.024	9.6	0.967	0.005
22203	044630+1528.3	71.62639088	15.4721101	21.08	0.86	86.93	1.24	-23.85	0.91	7.098	0.026	6.843	0.02	6.738	0.033	8.3	0.665	0.006
20826	042746+1144.2	66.94170449	11.73644952	21.53	0.84	110.38	1.13	-11.1	0.71	6.424	0.018	6.222	0.029	6.158	0.017	7.49	0.56	0.007
19786	041427+1226.1	63.61327478	12.43534644	23.29	1.25	116.4	1.27	-11.76	1.16	6.856	0.019	6.607	0.021	6.534	0.017	8.05	0.64	0.001
21589	0	69.53917405	12.51087417	21.24	0.56	102.4	0.7	-15.78	0.54	4.117	0.258	4.078	0.228	4.105	0.334	4.27	0.122	0.005
20641	0	66.35393597	22.20011252	22.03	0.35	111.97	0.46	-47.71	0.34	5.086	0.25	4.921	0.23	4.607	0.016	5.27	0.25	0.01
22265	044738+1815.5	71.90633862	18.25881543	19.13	1.28	80.96	1.73	-36.65	1.45	7.217	0.019	6.901	0.024	6.837	0.018	8.54	0.72	0.002
21723	043951+1243.7	69.96212978	12.72851747	23.33	1.7	102.79	2.28	-17.85	1.7	8.089	0.021	7.602	0.023	7.48	0.023	10.04	1.073	0.005
20635	0	66.3420783	22.29398101	21.19	0.21	105.1	0.28	-45.04	0.19	4.093	0.284	4.064	0.228	4.077	0.47	4.21	0.136	0.004
19934	041633+2154.4	64.13921594	21.90756098	19.07	1.07	105.16	1.27	-37.14	1.12	7.701	0.02	7.376	0.018	7.275	0.023	9.14	0.813	0.002
19082	040526+1926.5	61.35664605	19.44223118	15.76	4.15	122.62	4.55	-28.43	2.99	8.889	0.032	8.259	0.027	8.107	0.026	11.41	1.347	0.005
21475	043641+1154.7	69.17164108	11.91243328	18.5	1.57	165.0	1.89	-28.51	1.4	8.413	0.034	7.935	0.036	7.875	0.021	9.94	0.852	0.056
20419	042226+1118.3	65.60675534	11.30573007	18.96	2.24	113.13	2.54	-7.82	1.78	7.62	0.024	7.135	0.033	6.948	0.018	9.79	1.183	0.005
22422	044932+1553.3	72.38363482	15.88880506	20.47	0.72	86.17	0.81	-24.49	0.62	6.642	0.021	6.433	0.021	6.355	0.016	7.72	0.578	0.009
22380	044904+1838.5	72.26446042	18.64133784	22.28	1.53	82.99	1.64	-39.66	1.53	7.486	0.024	7.141	0.024	7.059	0.026	8.98	0.833	0.003
22496	045024+1712.2	72.5994489	17.20273714	20.05	1.67	98.75	1.73	-30.45	1.13	6.002	0.018	5.725	0.023	5.666	0.02	7.1	0.563	0.008
18946	040339+1927.3	60.91235341	19.45509401	23.27	2.42	119.02	2.8	-35.43	2.21	8.206	0.02	7.709	0.024	7.6	0.02	10.12	1.07	0.015
20711	0	66.57664507	22.81369389	21.21	0.25	108.81	0.3	-46.8	0.25	3.859	0.25	3.793	0.232	3.761	0.348	4.28	0.263	0.006
22524	045049+1612.6	72.70205495	16.21051478	19.38	0.62	82.2	0.68	-26.64	0.43	6.321	0.029	6.146	0.02	6.061	0.016	7.29	0.536	0.011
20751	042648+1052.3	66.7008005	10.87110917	24.11	1.59	113.02	1.74	-14.78	1.2	7.528	0.039	6.968	0.033	6.882	0.02	9.45	1.033	0.005
19981	041707+2240.4	64.27832759	22.67341974	29.08	1.6	118.03	1.74	-42.67	1.16	7.52	0.023	7.004	0.038	6.84	0.027	9.77	1.23	0.015
18735	0	60.20285807	18.19406873	23.31	0.27	129.15	0.34	-28.79	0.28	5.236	0.019	5.077	0.031	5.047	0.016	5.89	0.319	0.005
19789	041430+2227.1	63.62650069	22.45194735	17.2	0.56	96.23	0.52	-33.7	0.43	6.207	0.019	6.082	0.023	6.005	0.021	7.05	0.424	0.006
22505	045034+1505.0	72.64067886	15.08350369	23.69	0.87	90.21	1.02	-20.56	0.72	6.439	0.027	6.133	0.033	6.044	0.02	7.73	0.74	0.014
21066	043057+1045.1	67.73795996	10.75179351	22.37	0.59	103.13	0.78	-9.57	0.44	6.139	0.034	5.944	0.029	5.893	0.02	7.03	0.472	0.013
22566	045123+1526.0	72.84656295	15.43350899	17.46	0.85	68.02	0.89	-17.1	0.65	6.93	0.032	6.686	0.017	6.671	0.021	7.9	0.527	0.008
